,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Boulevard Soult,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,ARGENTEUIL,AUBERVILLIERS,Boulevard Péripherique Auteuil,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Paris stade Lenglen,0
,PA01H,RN6,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,PA15L,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2019/05/23 01:00:00+00,,8.400000,30.700000,26.400000,33.100000,48.900000,2.100000,23.900000,157.600000,86,,17.300000,21.300000,37.600000,0.300000,17.700000,1.400000,101.500000,,30,6.500000,0.100000,2,,4.700000,27.500000,15.600000,1,2,22.500000,0.100000,0,9.200000,13,31.400000,1.400000,1.500000,28.700000,20.700000,1.300000,3413
2019/05/23 02:00:00+00,,7.300000,27.700000,11,108.300000,55.700000,2.500000,28.400000,149.300000,64.300000,,1,8.200000,13.700000,0.600000,7.600000,0.600000,108.500000,,81.600000,4.500000,0,1.900000,,3.600000,26.200000,15.500000,1.600000,8.100000,35.200000,0.200000,0,10.500000,10.500000,16.100000,1.400000,0.900000,39.900000,13,1.200000,3414
2019/05/23 03:00:00+00,,26,41.900000,22.300000,143.800000,82.400000,19.700000,36.500000,186.700000,88.300000,,4.100000,19.400000,42.700000,2.300000,1.100000,0.700000,87.400000,,29.400000,15.500000,0,4.300000,,5.500000,19.700000,11,10.500000,23.900000,37.600000,0.200000,0,5.400000,11.100000,18.900000,1,0.800000,88.300000,37.500000,1.900000,3415
2019/05/23 04:00:00+00,,75.600000,95.300000,53.600000,254.600000,188.600000,39.200000,45.900000,255,195.100000,,21.700000,26,123.400000,8.300000,0.500000,0.600000,82.900000,,9.200000,14.700000,12.400000,24.900000,,9.800000,24.800000,2.200000,27.800000,32.300000,38.500000,0.200000,0,14.700000,10.300000,46.700000,1.100000,5.500000,107.400000,48.600000,3.200000,3416
2019/05/23 05:00:00+00,,117.100000,148.700000,112.100000,396,314.800000,80.600000,35.800000,446.800000,342.500000,,59.200000,83.700000,238.600000,18.600000,21.100000,0.800000,86.600000,,12.700000,26.500000,32.300000,48,,26,28.100000,11.500000,51,66,64.300000,0.200000,0.100000,44.600000,33.400000,67.400000,13.900000,24,137.900000,92.900000,10.800000,3417
2019/05/23 06:00:00+00,,183.200000,225.200000,127.700000,307.600000,438.400000,75.900000,67.100000,360.800000,304.100000,,104,207.600000,329.100000,38.500000,75.800000,1.100000,77.500000,,21.900000,70.600000,104.100000,58.700000,,45.800000,52.500000,24,118.800000,141.100000,84.900000,5.700000,0.100000,45.300000,67.300000,203,48.600000,67.200000,108,136.700000,25.500000,3418
2019/05/23 07:00:00+00,,176,272,123.800000,295,354.800000,51.800000,101.800000,192.600000,349.100000,,88.300000,182.500000,317.200000,40.500000,103.500000,4.400000,60.500000,,82.700000,132.400000,81.400000,42.700000,,53.600000,51.100000,38.700000,139.800000,114.800000,153.300000,3.500000,0.400000,70.100000,58.200000,146.700000,13,63.600000,100.600000,149.500000,26.600000,3419
2019/05/23 08:00:00+00,,191.700000,157.100000,139.300000,202.700000,268.400000,13.900000,88.200000,116.300000,341.800000,,86.400000,135.400000,166.300000,11.200000,29.600000,16.700000,57.400000,,38.300000,61.900000,31.200000,22.700000,,9.700000,9.400000,23.500000,107.800000,17.500000,14.300000,0.500000,1.100000,112.400000,45.700000,110.400000,3.800000,52.700000,100.300000,143.900000,19.100000,3420
2019/05/23 09:00:00+00,,70.500000,46,123.100000,138.100000,219.900000,9.700000,29.100000,107.800000,209.500000,,13.800000,56.900000,159.300000,8.300000,8,7.900000,43.400000,,11,37.900000,7.900000,17.400000,,10,5.600000,4.800000,44,45.900000,13.500000,0.200000,0.600000,52.600000,15.400000,93.500000,2.900000,12.300000,18.800000,121.200000,6.500000,3421
2019/05/23 10:00:00+00,,62.600000,11.900000,103.400000,96.400000,118.400000,4.800000,6.400000,82.400000,132.400000,,3.700000,35.900000,81.200000,2.500000,6.400000,3.900000,83.200000,,7.900000,14.900000,2.900000,5.400000,,4.300000,3.900000,2.800000,5.100000,4.300000,11.800000,0.200000,0,,5.500000,72.800000,2,3.400000,2.700000,54.400000,1.600000,3422
2019/05/23 11:00:00+00,,52.700000,11.600000,70.800000,96.600000,83.300000,5.300000,3.500000,86.100000,82.200000,,2.100000,57.200000,75.100000,1.200000,5.300000,4.300000,68.700000,,7.700000,4.400000,0.200000,3,,3.500000,3.500000,2.300000,3,2,2.900000,0.100000,0,,2.500000,86.500000,1.700000,2.700000,1.600000,42.100000,1.600000,3423
2019/05/23 12:00:00+00,,48.600000,22.700000,62.600000,94,124.700000,6.400000,2.900000,88.500000,90.300000,,1.600000,41.600000,52.900000,0.900000,5,2.400000,32.200000,,5.300000,2.400000,0,2,,1.500000,2.200000,1.100000,2.400000,1.300000,,0.100000,0,,1.700000,40.900000,1,3,1.400000,38.700000,1.200000,3424
2019/05/23 13:00:00+00,,46.600000,20.200000,74.600000,99.700000,142.600000,2.900000,,117.100000,70.700000,,2,33.100000,56.900000,1,3.300000,1.700000,66.300000,,3.400000,2.100000,0,3.700000,0.100000,2.400000,2.600000,1.500000,3.100000,1.400000,,0.100000,0,,1.400000,76.400000,0.800000,3,1.800000,27.100000,1.600000,3425
2019/05/23 14:00:00+00,,43.900000,10.500000,93.100000,118.600000,188.700000,3,,69.600000,83.100000,,1,27.200000,59.100000,0.300000,1.800000,1.800000,29.300000,,1.700000,1.800000,0,2.300000,0.400000,1.600000,1.200000,1.700000,1.500000,0.800000,2.200000,0.100000,0,,1.300000,70.600000,1.500000,2.100000,1.100000,63.800000,0.800000,3426
2019/05/23 15:00:00+00,,50.900000,1.300000,92.800000,119,131.100000,4.300000,4.400000,65.300000,103.100000,,1.600000,50.400000,68.500000,0.200000,2.500000,1.800000,33.700000,,2,1.800000,0,3.200000,0.400000,2.600000,1.200000,0.700000,1.700000,1,1.600000,0.100000,0.600000,,1.400000,89.200000,0.800000,2.200000,1.100000,70.500000,0.600000,3427
2019/05/23 16:00:00+00,,57.100000,5,143.200000,,126.200000,2.300000,3.500000,71.900000,101.600000,,1.100000,37.300000,96,0.200000,2.400000,1.900000,27.400000,,1.600000,1.700000,0,3.700000,0.300000,1.200000,0.500000,0.900000,1.300000,0.900000,1,0,0.200000,,,104,0.600000,3.100000,0.900000,51.900000,0.600000,3428
2019/05/23 17:00:00+00,,82,4.200000,70,,124.600000,2,2.900000,71.700000,88.300000,,1.100000,49.800000,74.300000,0.100000,1.900000,1.800000,22.800000,,0.800000,1,0,3.600000,0.100000,2.900000,0.500000,1.400000,1.300000,0.700000,0.900000,0,0,,1.500000,74.400000,1.200000,2.100000,0.700000,69.800000,0,3429
2019/05/23 18:00:00+00,,70.300000,3.200000,90.600000,125.600000,138.600000,1.500000,2.400000,93.600000,59.200000,,0.800000,60.500000,71.500000,0.900000,2.900000,1.100000,26.400000,,0.600000,1.600000,0,4.200000,0.100000,1.100000,0.500000,0.400000,0.900000,0.600000,0.200000,0.100000,0,,1.400000,116.400000,0.500000,1.600000,0.900000,71,0,3430
2019/05/23 19:00:00+00,,78.900000,0,77.200000,126,112.300000,0.700000,2.400000,152,40.200000,,0.300000,33.100000,86.800000,0.200000,0.800000,1.500000,17.200000,,0.800000,1.300000,0,1.600000,0.200000,1,0.500000,0.100000,0.600000,0.400000,0.100000,0.200000,0,,1,40.800000,0.500000,1.700000,0.400000,42.900000,0,3431
2019/05/23 20:00:00+00,,48.900000,0,40.500000,120.500000,117.900000,0.600000,2.300000,96.300000,83,,0.200000,26.900000,55.400000,0,0.600000,0.900000,5.700000,,0.500000,1.200000,0,1.900000,0.300000,0.700000,0.500000,0.100000,0.700000,0.100000,0,0.200000,0,,0.900000,27.900000,0.400000,0.800000,0.300000,29.200000,0,3432
2019/05/23 21:00:00+00,,29.400000,13.100000,64,91.100000,53.600000,1.400000,1.900000,134.600000,81,,0.400000,45.700000,113,0,0.200000,0.700000,15.200000,,0,2.900000,0.100000,0.500000,0.500000,1.100000,0.800000,0.300000,0.700000,0.100000,0.100000,0.100000,1.100000,,1.100000,44,0.500000,2.600000,2.200000,40.800000,0,3433
2019/05/23 22:00:00+00,,28.200000,52.600000,40.500000,32,55.400000,0.600000,2.300000,90.200000,116.900000,,0.400000,35.900000,48.400000,6.200000,0.200000,0.900000,18.900000,,0.100000,24.500000,6,0.700000,0.600000,1.200000,0.600000,2.300000,1.700000,0.200000,0.300000,0.100000,1.300000,,1.300000,21.500000,0.500000,0.600000,1.400000,32.600000,0.800000,3434
2019/05/23 23:00:00+00,,19.600000,1.100000,18.800000,16.900000,2.600000,1.400000,0.500000,112.500000,86.200000,,0.100000,14.300000,47.300000,1.700000,0.500000,0.900000,18,,0.100000,0.600000,7.400000,1.200000,0.700000,0.700000,0.500000,0.400000,1.700000,0.200000,0.300000,0.100000,0.500000,,1.400000,5.700000,0.400000,0.400000,1.600000,5.400000,0.600000,3435
2019/05/24 00:00:00+00,,12.100000,0.400000,14.700000,19.700000,4.500000,1.100000,0.400000,96.700000,66.100000,,0.500000,11.300000,23.700000,0,0,0.200000,7.600000,,0,0.800000,0,0.100000,0.700000,0.600000,0.600000,0.200000,1.800000,0.200000,0.100000,0.100000,0.500000,,1.200000,6.500000,0.600000,0.600000,0.400000,3.100000,0.700000,3436
2019/05/24 01:00:00+00,,10,0.300000,8.100000,36.500000,6.500000,0.300000,0.300000,132.300000,63,,0.300000,3.200000,16.900000,0,0,0.900000,5.300000,,0.100000,1,0,0.100000,1,0.800000,0.600000,0.200000,1.500000,0.200000,0.100000,0.100000,0.500000,,,7.500000,0.500000,0.400000,0.400000,5.900000,1.100000,3437
2019/05/24 02:00:00+00,,10.500000,2.800000,6.300000,62.800000,17.300000,0.700000,0.300000,124.700000,57.800000,,0.500000,7.200000,9.300000,0.500000,0,0.500000,4.800000,,0.100000,1,0,0.100000,1.100000,0.500000,0.800000,0.200000,1.200000,0.400000,1,0.100000,1.500000,,,0.400000,0.200000,0.600000,1,5.400000,1,3438
2019/05/24 03:00:00+00,,20.700000,1.200000,6.900000,101,20.200000,3,0.500000,101.100000,39.900000,,0.400000,3.500000,10,0.200000,0,1.100000,4.100000,,0.100000,0.900000,0,0.100000,1,0.800000,0.800000,0.300000,1.200000,0.200000,1.600000,0.100000,0.100000,,,0.400000,0.500000,0.700000,0.500000,4.300000,0.800000,3439
2019/05/24 04:00:00+00,,26.700000,2.500000,9,195.900000,43.500000,3.400000,0.400000,144.700000,72.600000,,0.200000,1.300000,46.500000,0.600000,0,0.700000,5.700000,,0.200000,1.100000,0,0.600000,2.100000,3.200000,0.600000,0.200000,1.600000,0.200000,0.300000,0.100000,0.400000,,,0.200000,0.600000,1.800000,1.100000,11.200000,,3440
2019/05/24 05:00:00+00,,83.300000,9.500000,27.600000,305.800000,24.700000,4.700000,1.100000,163.100000,82.400000,,1.100000,7.900000,109.500000,3.500000,0.600000,0.200000,16.200000,,0.900000,4.100000,1.800000,6.600000,10.200000,8.800000,0.800000,0.800000,1.700000,0.400000,1.900000,0.200000,1.100000,,,3,1.400000,1.500000,1.500000,19.700000,,3441
2019/05/24 06:00:00+00,,89.400000,32.500000,74.300000,302.400000,54.600000,8.600000,2,229.800000,128.800000,,1.900000,46.400000,199.100000,4.700000,5.200000,1.300000,23,,2.500000,5.300000,5.700000,8.900000,27.100000,19.600000,1.900000,6.400000,3.700000,1.700000,6.400000,1,2,,,18.900000,5.600000,4.600000,5.600000,13.800000,,3442
2019/05/24 07:00:00+00,,71.600000,51.400000,82.800000,235.900000,38.500000,5.800000,4,146.700000,129,,1.900000,52.500000,197.600000,5.400000,9.400000,4.500000,45.400000,,6.300000,9.600000,7.800000,6.400000,12.600000,8.300000,3.900000,15.200000,10.100000,5.700000,13.700000,1.100000,0.200000,,9,16.100000,7.300000,5.200000,11.400000,23.500000,,3443
2019/05/24 08:00:00+00,,67.700000,51.600000,110.300000,129.800000,114.200000,3.800000,2.500000,147.200000,116.200000,,1.900000,92.800000,184.900000,4.300000,7.200000,7.400000,50.500000,,6.700000,3.600000,4.600000,7.600000,4.600000,6.300000,3.500000,17.600000,10.200000,6.600000,9.200000,1.200000,0.300000,,5.100000,20.800000,3.400000,4.800000,15,28.600000,,3444
2019/05/24 09:00:00+00,,60.200000,25.600000,86.400000,92.800000,91.200000,2.800000,3.400000,114.100000,124,,2.700000,86.500000,121.900000,5.300000,7.500000,7.700000,64.500000,,6.100000,2.900000,3.700000,6.300000,9.300000,8.400000,3.200000,12.200000,9.800000,7.900000,13.900000,2.300000,0.300000,,6.500000,33.400000,3.400000,6.400000,9,13.500000,,3445
2019/05/24 10:00:00+00,,30.700000,16.700000,70.100000,89.600000,58.200000,3.700000,3.400000,99.400000,105,,3.500000,41.400000,88.300000,5.300000,,5.200000,32,,3.400000,2.500000,3.200000,6.700000,3.500000,5.400000,2.400000,7.400000,6.800000,8.200000,10.800000,2.600000,1.100000,,5.700000,30.900000,2.600000,4.900000,9,12.800000,,3446
2019/05/24 11:00:00+00,,42,19.800000,60.200000,108.500000,73.800000,1.900000,3.100000,77.900000,149.800000,,3,50.500000,66.400000,3.700000,1.800000,3.300000,30.800000,,2.400000,2.600000,2.500000,7.400000,2.400000,5.600000,1.800000,3.200000,11,4.800000,5.400000,1.300000,0.200000,,4.900000,35.500000,1.400000,3.600000,8.200000,16,,3447
2019/05/24 12:00:00+00,,40.900000,10.400000,6.400000,88,34.300000,2.600000,2.600000,80.600000,127.900000,,1.700000,27.900000,80.100000,4,2.500000,2.100000,30.100000,,1.100000,1.700000,1.700000,3.800000,2.300000,7.100000,0.900000,3.500000,6.300000,2.900000,2.900000,0.700000,0,,3.100000,26.600000,,2.800000,4.700000,12.900000,,3448
2019/05/24 13:00:00+00,,27,13.200000,55.500000,103.200000,22.900000,1.600000,1.600000,64.600000,94.600000,,1,28.200000,79.600000,2.200000,3.100000,1.100000,29.300000,,0.800000,1.500000,1.200000,3.100000,2.800000,3.100000,0.900000,3.100000,4.200000,1.500000,2.700000,0.800000,0,,2.900000,37.700000,,1.900000,2.700000,10.400000,,3449
2019/05/24 14:00:00+00,,44.100000,12.900000,52.300000,99.400000,31.700000,2.900000,1.100000,89.300000,94.500000,,1.100000,26.600000,79.400000,1.100000,2,1.100000,28.800000,,1.200000,1,0.600000,2.100000,2.100000,1.900000,0.900000,3.600000,3.700000,1.100000,3,1.300000,0,,2.200000,14.500000,1.500000,2,2.100000,18.500000,,3450
2019/05/24 15:00:00+00,,28.400000,15.400000,52.300000,121.600000,25.600000,2.200000,1,66.400000,92.400000,,0.700000,19.400000,87.800000,1.200000,1.800000,0.900000,15.800000,,1.100000,1.300000,0.600000,3.500000,3.800000,2.400000,0.700000,3.500000,3.900000,1.200000,3.900000,1,0,,2.100000,10.100000,2.100000,1.800000,3.100000,12.800000,,3451
2019/05/24 16:00:00+00,,65.800000,25.400000,64.600000,110.600000,21.200000,2.100000,1,52.100000,87,,1.100000,18.100000,94,1,1.500000,1.500000,33.100000,,1.200000,1.100000,0.700000,3.700000,3.200000,0.800000,0.600000,3.200000,4.700000,0.800000,4.500000,0.200000,0,,2.300000,12.700000,1.800000,1.600000,2.100000,14.500000,,3452
2019/05/24 17:00:00+00,,47.400000,16.700000,83.700000,123.700000,19.700000,2.800000,1.200000,59.100000,92.500000,,1,22.500000,85.400000,0.600000,0.900000,1.500000,24.100000,,1,1.500000,0.600000,3.400000,2.700000,1.500000,0.600000,4.100000,3.200000,0.800000,3.500000,0.100000,0,,1.800000,11.100000,1.700000,1,2.200000,18.500000,,3453
2019/05/24 18:00:00+00,,50.300000,14.800000,65.700000,116.400000,17.100000,1.400000,0.700000,70.200000,79.200000,,0.800000,22.300000,82.100000,0.600000,0.800000,1.100000,25.900000,,0.900000,1.400000,0.500000,3.200000,1.400000,1.500000,0.600000,3.900000,2.500000,0.600000,2.900000,0.100000,0.100000,,2.200000,6.900000,1.500000,0.800000,2.100000,17.700000,,3454
2019/05/24 19:00:00+00,,43.500000,6.400000,39.200000,69.100000,10.300000,1.200000,0.100000,81.200000,66.700000,,0.100000,18.100000,77.200000,0.200000,0.100000,0.800000,20.700000,,0.400000,1,0,1.400000,0.700000,1.200000,0.700000,2.400000,2,0.500000,1.200000,0.100000,0.200000,,2.100000,6.600000,0.800000,0.400000,2.200000,16.300000,,3455
2019/05/24 20:00:00+00,,21.700000,3.400000,18,59.500000,3.500000,0.800000,0,45,49.900000,,0.100000,10.400000,34.800000,0,0,0.900000,13.600000,,0,1,0,2.600000,0.900000,0.800000,0.400000,1.700000,2.400000,0.200000,1.100000,0.100000,0,,1,2.700000,0.700000,0.700000,1.200000,7.400000,,3456
2019/05/24 21:00:00+00,,30,1.800000,31.700000,44.600000,10.400000,0.500000,0,42.500000,45,,0,9.500000,49.700000,0.200000,0.100000,0.400000,15,,0,0.500000,0,1,0.400000,0.500000,0.400000,2.600000,1.100000,0.200000,0.400000,0.100000,0.200000,,1.200000,0.200000,0.700000,0.300000,0.500000,2.800000,,3457
2019/05/24 22:00:00+00,,17.400000,8.400000,29.400000,32.200000,16.200000,0.400000,0.100000,46.600000,48.300000,,0,9.600000,53,0.100000,0,0.400000,10.300000,,0,0.800000,0,1.400000,0.400000,0.400000,0.400000,2,1.100000,0.200000,0.700000,0.100000,0,,1.200000,0.300000,0.500000,0.500000,1.100000,6.200000,,3458
2019/05/24 23:00:00+00,,6.500000,3.300000,26.100000,29.800000,8.600000,0.100000,0,43.300000,42.100000,,0.200000,15.400000,60.500000,0,0.300000,0.500000,9.800000,,0.100000,0.500000,0,1.700000,0.400000,1.200000,0.300000,0.800000,0.600000,0.100000,0.700000,0.100000,1.600000,,1.100000,0.200000,0.600000,0.300000,0.400000,4,,3459
2019/05/25 00:00:00+00,,11.200000,2.100000,19.300000,20.200000,13.200000,0.800000,0,38.400000,32.300000,,0.300000,5.600000,40.100000,0.400000,0,0.900000,9.300000,,0.100000,0.700000,0,1.200000,0.800000,0.300000,0.500000,0.500000,1.200000,0.100000,0.400000,0.100000,0.900000,,0.900000,0.100000,0.500000,0.400000,0.600000,2.400000,,3460
2019/05/25 01:00:00+00,,6.900000,0.400000,15.100000,22,14.300000,0.300000,0,44.700000,33.700000,,0.300000,8.400000,22.900000,0,0,0.700000,7.500000,,0.100000,0.600000,0,0.300000,1,0.500000,0.400000,0.400000,0.400000,0.100000,0.600000,0.100000,0.900000,,0.900000,1,0.500000,0.300000,0.300000,1.400000,,3461
2019/05/25 02:00:00+00,,4.300000,0.600000,10.600000,18.900000,13.500000,1,0.100000,51.700000,44.800000,,0.100000,14.600000,11.500000,0.100000,0,0.600000,9.700000,,0,1.100000,0,0.300000,0.700000,0.800000,0.300000,0.200000,1.600000,0.100000,0.100000,0.100000,0.600000,,0.900000,0.600000,0.400000,0.100000,0.200000,2.800000,,3462
2019/05/25 03:00:00+00,,5.600000,0.300000,7.100000,36.800000,5.200000,0.500000,0,103.500000,67.700000,,0.100000,6.400000,8.900000,0.100000,0,1.100000,8.600000,,0.300000,0.900000,0,0.800000,0.300000,0.400000,0.300000,0.100000,0.600000,0.300000,0.200000,0.100000,0.800000,,1,0.800000,0.500000,0.500000,0.200000,3.400000,,3463
2019/05/25 04:00:00+00,,10.400000,0.900000,8.300000,43.600000,2.200000,0.700000,0.100000,122.200000,78.500000,,0.300000,6.700000,23.800000,0,0,0.800000,7,,0.200000,0.600000,0,3.300000,0.200000,0.800000,0.400000,0.100000,1,0.100000,0.400000,0.100000,0.300000,,1,3.300000,0.600000,0.400000,0.400000,8,,3464
2019/05/25 05:00:00+00,,20.200000,1.400000,20.500000,77.100000,2.900000,1.300000,0.500000,145.900000,105.400000,,0.300000,3.900000,31.500000,0.600000,0.700000,0.500000,5.500000,,0.500000,1.100000,0.200000,2.200000,0.700000,0.800000,0.600000,0.500000,1.900000,0.300000,0.700000,0.100000,0.800000,,2.100000,7.800000,1.200000,0.900000,1.600000,10.600000,,3465
2019/05/25 06:00:00+00,,37.100000,4.300000,23.200000,102.400000,14.600000,2.100000,1.600000,123.700000,126.600000,,1.700000,31.500000,39.500000,3.100000,0.600000,0.900000,13.600000,,0.700000,2,1.200000,2.600000,2.400000,2.700000,1.800000,1,4.700000,1.100000,1.800000,0.200000,1.800000,,6.700000,20.400000,2.500000,3.300000,3.400000,10.100000,,3466
2019/05/25 07:00:00+00,,33.300000,9.700000,51.800000,114.900000,10.500000,2.400000,2.900000,94.800000,132.500000,,2.100000,38.300000,48.900000,4.900000,1.300000,1.100000,10.800000,,2.200000,1.900000,2.100000,4.300000,2.400000,3.400000,2.400000,2.100000,7.300000,1.900000,4.500000,0.500000,0.700000,,5,24,2,4.200000,6.600000,12.700000,,3467
2019/05/25 08:00:00+00,,48.700000,10.400000,75.200000,134.800000,27.900000,3.900000,9.500000,91.200000,168.200000,,4.300000,63.700000,60.900000,5.600000,4,1.100000,7.800000,,5.100000,2.900000,2.700000,7.200000,3.600000,7.300000,3.800000,5.400000,10.300000,3.800000,8.500000,0.900000,0.800000,,5.100000,42.400000,2.800000,6.300000,6.300000,29.200000,,3468
2019/05/25 09:00:00+00,,45.100000,11.800000,76.600000,139,33.300000,3.900000,7.200000,82.500000,129.800000,,6.100000,70.900000,37.300000,6,6.700000,4.100000,6,,5.800000,4.900000,3.800000,6.400000,3,8.200000,3,6.200000,8.400000,5.400000,9.100000,0.900000,2,,6.100000,49.800000,3.700000,6,6.800000,27.300000,,3469
2019/05/25 10:00:00+00,,53.300000,12,65.900000,99,26.500000,3.400000,4,68.200000,116.200000,,4.800000,31.300000,38.200000,4,5.300000,5.100000,7.100000,,3.800000,3.500000,2.500000,8,3.600000,4,3.300000,10.100000,8.500000,3,5.700000,0.800000,0.600000,,6.200000,27,4.700000,5.200000,3.400000,14.600000,,3470
2019/05/25 11:00:00+00,,62.300000,8.300000,57.400000,76.600000,7.200000,2.200000,1.900000,54.200000,110.300000,,2.200000,19.400000,42,2.800000,2.400000,2.100000,4.300000,,1.600000,1.700000,2.300000,3.600000,,3.200000,1.500000,3.600000,5.400000,2.400000,4.400000,1.200000,0.200000,,3.700000,17.500000,2.200000,3.200000,3,10,,3471
2019/05/25 12:00:00+00,,53.800000,4.900000,59.900000,78.600000,7.600000,0.900000,0.600000,65.600000,83.300000,,0.800000,27.200000,35.900000,1.100000,0.400000,1.200000,3.800000,,0.900000,1.300000,0.900000,3.400000,1.800000,1.800000,0.700000,3.900000,4.300000,1.200000,2.200000,0.400000,0,,2.200000,20.100000,1.500000,1.500000,3,13.200000,,3472
2019/05/25 13:00:00+00,,39.300000,10,64.200000,79.300000,36.100000,2.100000,0.600000,63.200000,68.300000,,1.300000,29.700000,73.300000,0.800000,0.900000,1.100000,25.500000,,1.700000,1.700000,0.900000,3.800000,1.700000,2.500000,0.900000,6.900000,4.500000,0.700000,3.400000,0.100000,0,,3.300000,19.400000,1.800000,2.300000,3.300000,8.200000,,3473
2019/05/25 14:00:00+00,,51.600000,10.800000,61.200000,75.600000,8,1.300000,1.300000,62.500000,87.300000,,0.900000,17.500000,72.700000,1.200000,1.100000,1.100000,11,,1.300000,1.500000,1.600000,3.300000,1.100000,2.100000,1.100000,5.700000,4.100000,1.600000,3.100000,0.200000,0,,2.300000,26.400000,2,1.600000,2.700000,11.800000,,3474
2019/05/25 15:00:00+00,,51.600000,11.100000,60.700000,80.900000,66.600000,1.200000,0.400000,147.900000,71.600000,,1.500000,95.300000,57.800000,2.300000,1.800000,1.200000,12.600000,,1.200000,1.300000,1,3.900000,1.200000,2,1.100000,5.100000,7,1.600000,4.100000,0.300000,0,,3.300000,47.600000,1.700000,3.400000,3.200000,22.300000,,3475
2019/05/25 16:00:00+00,,73.900000,13.900000,72.600000,101.700000,84.800000,0.800000,0.500000,131,66.600000,,1.700000,38.500000,74,1.700000,1.400000,0.800000,34.100000,,1.200000,1.400000,0.900000,3.100000,3.900000,2,1.100000,8.400000,4.800000,2,4.200000,0.200000,0,,2.600000,14.400000,2,4.100000,4.200000,16.300000,,3476
2019/05/25 17:00:00+00,,41.300000,2.700000,57.200000,100.100000,113.400000,1.100000,0.800000,112.100000,85.400000,,3.100000,22.800000,90.300000,2.100000,1.500000,1.300000,23.500000,,1.200000,1.700000,1.900000,5.700000,1.100000,1.600000,1.200000,7.900000,2.500000,2,4,0.300000,0,,3.300000,9.600000,1.800000,3.800000,2.300000,27.100000,,3477
2019/05/25 18:00:00+00,,45.400000,8,78.600000,84.200000,67.100000,1.100000,1,85,116.700000,,3.400000,26.900000,80.900000,2.200000,0.900000,1,19.200000,,1.100000,1.400000,4.900000,3.200000,0.800000,3.800000,1.100000,5.500000,5.300000,1.600000,3.600000,0.300000,0.800000,,7,9.400000,1.500000,5.700000,1.700000,20.600000,,3478
